,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,artist,song
159,0.736,0.795,-3.299,0.0545,0.498,1.21e-06,0.254,0.511,104.066,6gpcs5eMhJwax4mIfKDYQk,230813,Calvin Harris,Slide (feat. Frank Ocean & Migos)
160,0.667,0.879,-6.314,0.0394,0.0286,0.000538,0.0882,0.351,154.986,5ZgA4F6aJ3nxKKYZq6KWco,181360,Jebroer,Engeltje
161,0.568,0.833,-5.124,0.0294,0.048,0.000245,0.118,0.316,152.035,1h2bvksxSjrb1DIpTphFDg,252632,Dr Phunk,Give A Fxck
162,0.821,0.911,-3.448,0.107,0.00956,0.291,0.0403,0.607,128.001,0sWdVLjjZQsxC3QKEKaNZ8,270283,Uberjak'd,Jetfuel
163,0.706,0.884,-6.461,0.0803,0.000511,0.368,0.0628,0.0738,127.991,1jqxHKqsqUhilDKbLml6sq,241875,New World Sounds,Colors - SCNDL Remix
164,0.755,0.795,-6.302,0.0411,0.00264,0.0195,0.0948,0.689,121.991,5xSGWKadCR6lZu68cVkrLI,342361,Dubdogz,Pumped up Kicks (feat. Joy Corporation)
165,0.612,0.84,-3.145,0.0509,0.112,0.0,0.116,0.438,129.042,2V65y3PX4DkRhy1djlxd9p,212862,Swedish House Mafia,Don't You Worry Child - Radio Edit
174,0.498,0.862,-6.02,0.0589,0.000313,0.00941,0.352,0.47,128.034,3aQz0z86zrKjd1mcZlonxE,192294,Guru Josh Project,Infinity 2008 - Klaas Vocal Edit
175,0.792,0.668,-5.67,0.0742,0.24,0.371,0.142,0.242,109.956,6i3WMnuvd8DtczaGIMJvwC,157153,Avicii,So Much Better - Avicii Remix
176,0.662,0.858,-4.844,0.0428,0.00163,0.0,0.0456,0.295,133.993,6Pgkp4qUoTmJIPn7ReaGxL,181673,Avicii,Without You (feat. Sandro Cavazza)
177,0.57,0.763,-4.137,0.0573,0.0857,2.49e-06,0.0932,0.43,150.088,6jq6rcOikCZAmjliAgAmfT,239853,San Holo,Light
178,0.733,0.836,-12.884,0.0438,2.83e-05,0.833,0.0671,0.785,125.004,1i9PAdo0wXDtsG7C7RZy10,430080,David Herrero,Alanka
179,0.565,0.982,-2.728,0.0819,0.0123,0.545,0.111,0.505,159.973,7kpd1EGV1dcHSCRoEjSYSD,222004,BLOQSHOT,Redshift
180,0.872,0.834,-6.265,0.122,0.00978,0.816,0.0728,0.265,124.999,0Tkr6q4jWS7PsgHNi4B1ym,391680,Dj Fronter,Haidaku
181,0.813,0.809,-6.761,0.0706,0.0559,0.163,0.333,0.471,122.994,0BGsenauCQGUHZrJ6SDXEm,178537,MOUNT,Something Good - Radio Edit
182,0.729,0.947,-3.103,0.0458,0.211,0.822,0.367,0.209,130.005,5h4teuDu2FthAiNUNG7toy,211000,Dimitri Vegas & Like Mike,The Hum - Short Edit / Dimitri Vegas & Like Mike vs. Ummet Ozcan
183,0.763,0.602,-9.696,0.0462,0.0284,0.157,0.137,0.133,120.012,0T8rENhj8FVjasRcGMYOIp,325497,Eli & Fur,You're so High
184,0.484,0.756,-4.379,0.0579,0.00209,0.314,0.3,0.239,139.9,0y3VbJU7mDnaUboUrVj1I4,187093,Carnage,PSY or DIE
185,0.837,0.793,-5.048,0.0567,0.0261,9.04e-05,0.0743,0.87,124.988,2NF8A7C6tICScdRaZ0BrEe,151011,Ofenbach,Katchi - Ofenbach vs. Nick Waterhouse
186,0.49,0.839,-9.157,0.0409,0.002,0.00397,0.282,0.364,130.143,2qvQfev7XxROCLlTn8yFIr,291147,Armin van Buuren,I Live For That Energy (ASOT 800 Anthem) (ASOT 792) [Tune Of The Week]
187,0.84,0.569,-8.1,0.0917,0.00158,0.84,0.103,0.439,123.982,0CUHeJM7FjJqg6waDLVk41,258307,Robin Schulz,Un sueño
188,0.563,0.888,-3.352,0.0579,0.000649,0.702,0.272,0.131,122.977,4cs99TEADEOcGm5DRRFyOw,154146,Tiësto,BOOM
189,0.686,0.916,-4.873,0.0424,0.000145,0.888,0.0485,0.47,125.01,6czLIcUcBYrd4EQsTtecTz,406080,Jude & Frank,That's All!
190,0.841,0.639,-6.052,0.0688,0.0156,0.0654,0.0545,0.675,99.002,7EVk9tRb6beJLTHrg6AkY9,241875,Burak Yeter,Tuesday (feat. Danelle Sandoval)
